employee_id,name,department,role,job_level,hire_date,tenure_years,salary,performance_rating,manager_id,attrition_flag,exit_date
EMP1000,Tanya Armstrong,HR,Consultant,L4,2025-02-05,1.48,704807,Low,EMP1296,0,
EMP1001,Sara Melendez,Finance,Consultant,L4,2022-02-10,4.47,753862,Average,EMP1509,0,
EMP1002,Kristen Powell,Sales,Analyst,L5,2023-11-21,2.69,722281,High,EMP1714,0,
EMP1003,Alexander Weaver,Finance,Senior Analyst,L2,2024-01-04,2.57,640802,Average,EMP1983,0,
EMP1004,Brian Walker,Finance,Consultant,L2,2022-10-01,3.83,914556,High,EMP1965,0,
EMP1005,Angela Bridges,Consulting,Manager,L1,2024-11-20,1.69,650714,Average,EMP1572,0,
EMP1006,Leon Griffin,Sales,Manager,L2,2020-12-25,5.6,981137,Average,EMP1537,0,
EMP1007,Steven Preston,Sales,Senior Manager,L2,2021-03-29,5.34,884928,Low,EMP1582,0,
EMP1008,Matthew Bullock,Sales,Manager,L5,2025-02-21,1.44,828315,Average,EMP1614,0,
EMP1009,Luis Osborn,Finance,Senior Manager,L4,2026-06-01,0.16,627730,Average,EMP1978,0,
EMP1010,Christopher Baxter,HR,Analyst,L4,2019-01-13,7.55,726968,Low,EMP1325,0,
EMP1011,Rebecca Johnson,Sales,Analyst,L5,2023-12-06,2.65,1126617,Average,EMP1362,0,
EMP1012,Justin Shelton,Operations,Analyst,L2,2023-04-15,3.3,1050275,Average,EMP1668,1,2023-06-26
EMP1013,John Wagner,Finance,Senior Analyst,L5,2024-03-05,2.41,606733,Average,EMP1874,0,
EMP1014,Jeremiah Church,Consulting,Senior Analyst,L1,2025-08-31,0.92,929799,High,EMP1358,0,
EMP1015,Christopher Williams,HR,Senior Manager,L4,2025-01-26,1.51,1125416,High,EMP1705,0,
EMP1016,Sarah Evans,Operations,Manager,L3,2024-05-05,2.24,399178,Average,EMP1786,1,2025-02-20
EMP1017,Frank Flores,Operations,Manager,L1,2018-10-06,7.82,1063008,Average,EMP1323,0,
EMP1018,Thomas Washington,Consulting,Analyst,L1,2023-04-13,3.3,701212,Average,EMP1697,0,
EMP1019,Brian Warner,HR,Consultant,L5,2024-06-29,2.09,1071179,High,EMP1325,0,
EMP1020,Eric Schultz,Finance,Senior Analyst,L2,2020-12-23,5.61,671022,Low,EMP1624,0,
EMP1021,Michael Butler,Engineering,Senior Analyst,L4,2024-10-20,1.78,358535,Average,EMP1824,0,
EMP1022,Gregory Austin,HR,Analyst,L3,2025-02-13,1.46,411737,High,EMP1164,0,
EMP1023,Alexander Scott,Consulting,Senior Analyst,L1,2019-05-26,7.19,914425,Average,EMP1572,0,
EMP1024,Joshua Cabrera,Operations,Analyst,L3,2025-05-06,1.24,977916,Average,EMP1603,0,
EMP1025,Jason Maldonado,Finance,Senior Manager,L2,2025-09-23,0.85,628705,Average,EMP1797,0,
EMP1026,Ashley Roach,HR,Manager,L2,2025-02-26,1.42,1091577,Average,EMP1454,0,
EMP1027,Joseph Evans,Engineering,Consultant,L3,2018-10-22,7.78,401543,Average,EMP1968,0,
EMP1028,Lindsay Mcdaniel,Engineering,Manager,L4,2023-06-09,3.15,880176,Average,EMP1152,0,
EMP1029,Jonathon Bush,Sales,Manager,L2,2023-02-12,3.47,536695,Low,EMP1736,0,
EMP1030,Anna Meyers,Sales,Senior Manager,L3,2023-08-15,2.96,704449,Low,EMP1126,1,2025-07-11
EMP1031,Sarah Vang,Consulting,Senior Analyst,L1,2026-02-10,0.47,914219,High,EMP1192,0,
EMP1032,Lindsay Hughes,HR,Consultant,L3,2021-11-27,4.68,641875,Average,EMP1626,0,
EMP1033,Yvonne Gonzalez,HR,Senior Analyst,L3,2022-05-24,4.19,784633,Average,EMP1773,0,
EMP1034,Lindsay Johnson,Operations,Manager,L5,2020-03-24,6.36,1201887,Average,EMP1529,0,
EMP1035,Ryan Sanders,Operations,Analyst,L2,2019-08-24,6.94,726932,High,EMP1009,0,
EMP1036,Jason Conner,Operations,Manager,L4,2025-09-30,0.83,1150707,Average,EMP1091,0,
EMP1037,Benjamin Howard,Sales,Senior Analyst,L4,2022-10-30,3.75,561087,Average,EMP1138,0,
EMP1038,Valerie Bryan,HR,Manager,L5,2024-10-14,1.79,1058941,High,EMP1480,0,
EMP1039,Erin Adams,HR,Analyst,L4,2021-08-21,4.95,1332470,High,EMP1448,0,
EMP1040,Margaret Robinson,Engineering,Senior Manager,L3,2019-07-04,7.08,300000,Average,EMP1332,0,
EMP1041,Dawn Cook,Sales,Senior Analyst,L5,2022-11-05,3.74,660931,High,EMP1868,0,
